"timegroupsf","freq","se","timegroups","species"
"2013",0.00355543232730949,0.00129986964834939,2013,"Black Bittern"
"2014",0.00228701429064913,0.000705714592589356,2014,"Black Bittern"
"2015",0.00134320293262318,0.000425409736621306,2015,"Black Bittern"
"2016",0.00153795383005946,0.000475917099679584,2016,"Black Bittern"
"2017",0.000617865486259409,0.000196246774860645,2017,"Black Bittern"
"2018",0.000870281698125228,0.000280742000188773,2018,"Black Bittern"
"2019",0.000833438662088745,0.00027242085597582,2019,"Black Bittern"
"before 2000",0.00806682910771296,0.00204666988174728,1993,"Black-crowned Night-Heron"
"2000-2006",0.00611564114036455,0.00201838029190582,2004,"Black-crowned Night-Heron"
"2007-2010",0.00672034894813408,0.00179001872340347,2009,"Black-crowned Night-Heron"
"2011-2012",0.0187590872231819,0.00447659052584479,2012,"Black-crowned Night-Heron"
"2013",0.0104171636654027,0.00239822266341825,2013,"Black-crowned Night-Heron"
"2014",0.00650174429554275,0.00117017725331187,2014,"Black-crowned Night-Heron"
"2015",0.00571134064236662,0.000995971099770626,2015,"Black-crowned Night-Heron"
"2016",0.00701857251569956,0.0012599564091084,2016,"Black-crowned Night-Heron"
"2017",0.00877210839080782,0.00152312165307266,2017,"Black-crowned Night-Heron"
"2018",0.00933387945046932,0.00167717114163067,2018,"Black-crowned Night-Heron"
"2019",0.0105018059258613,0.00184629315577793,2019,"Black-crowned Night-Heron"
"before 2000",0.000863498417660613,0.000462027193182813,1993,"Black-tailed Godwit"
"2000-2006",0.000896236113088408,0.000943410232096731,2004,"Black-tailed Godwit"
"2007-2010",0.000300372894711802,0.000144299314323387,2009,"Black-tailed Godwit"
"2011-2012",0.000738813873935432,0.000360946683833334,2012,"Black-tailed Godwit"
"2013",0.000582276187269768,0.00027143789088144,2013,"Black-tailed Godwit"
"2014",0.000249243491429985,0.000114027520737027,2014,"Black-tailed Godwit"
"2015",0.000268499484567174,0.000114210530078675,2015,"Black-tailed Godwit"
"2016",0.00051504964988372,0.00022091468255086,2016,"Black-tailed Godwit"
"2017",0.000443890542743922,0.000188954708505779,2017,"Black-tailed Godwit"
"2018",0.000502739937436765,0.000212273331258792,2018,"Black-tailed Godwit"
"2019",0.000290259263763273,0.000121614913073525,2019,"Black-tailed Godwit"
"before 2000",0.0055759563121636,0.00198533294929499,1993,"Cinnamon Bittern"
"2000-2006",0.00507245642168146,0.00200556008158093,2004,"Cinnamon Bittern"
"2007-2010",0.001910310488345,0.000789868884393136,2009,"Cinnamon Bittern"
"2011-2012",0.00772923292152238,0.00280651936424209,2012,"Cinnamon Bittern"
"2013",0.00414249709109883,0.00151264745975975,2013,"Cinnamon Bittern"
"2014",0.00149000881591795,0.000483689202384888,2014,"Cinnamon Bittern"
"2015",0.00139049570306053,0.000452001412738173,2015,"Cinnamon Bittern"
"2016",0.00176914575332966,0.000548366618273565,2016,"Cinnamon Bittern"
"2017",0.000817580905602437,0.000276036705141236,2017,"Cinnamon Bittern"
"2018",0.000840318149861368,0.000271369694197984,2018,"Cinnamon Bittern"
"2019",0.00109560586344176,0.000339628500065546,2019,"Cinnamon Bittern"
"before 2000",0.00266075134109965,0.000825880198626738,1993,"Cotton Pygmy-Goose"
"2000-2006",0.00341544345054662,0.00102191493686199,2004,"Cotton Pygmy-Goose"
"2007-2010",0.00302184637292849,0.000804505943679466,2009,"Cotton Pygmy-Goose"
"2011-2012",0.00573747037170955,0.00153777542279896,2012,"Cotton Pygmy-Goose"
"2013",0.00199806134562703,0.000553931094973731,2013,"Cotton Pygmy-Goose"
"2014",0.00248960634022793,0.000623379116662387,2014,"Cotton Pygmy-Goose"
"2015",0.00171214451587911,0.000429966327512796,2015,"Cotton Pygmy-Goose"
"2016",0.00177776457244438,0.000427902096055325,2016,"Cotton Pygmy-Goose"
"2017",0.00132702209834133,0.000335851562396089,2017,"Cotton Pygmy-Goose"
"2018",0.00144814635793436,0.000364423205850978,2018,"Cotton Pygmy-Goose"
"2019",0.00117109893309314,0.000288219113838659,2019,"Cotton Pygmy-Goose"
"before 2000",0.00366464182407074,0.00217007072187327,1993,"Curlew Sandpiper"
"2000-2006",0.00353702981083444,0.00204542419268361,2004,"Curlew Sandpiper"
"2007-2010",0.00175870323463152,0.0010711607093587,2009,"Curlew Sandpiper"
"2011-2012",0.000471635786498071,0.000580158110779551,2012,"Curlew Sandpiper"
"2013",0.000762347910859908,0.000910326022849359,2013,"Curlew Sandpiper"
"2014",0.00062091011625164,0.00035097777444414,2014,"Curlew Sandpiper"
"2015",0.000299777391420312,0.000157392540246031,2015,"Curlew Sandpiper"
"2016",0.000302616201923037,0.000160934272870045,2016,"Curlew Sandpiper"
"2017",0.000345781804551891,0.000180214888523897,2017,"Curlew Sandpiper"
"2018",0.000330200719982173,0.000174181007173014,2018,"Curlew Sandpiper"
"2019",0.000191004038349216,0.000103085702946744,2019,"Curlew Sandpiper"
"before 2000",0.00387624945127089,0.00221776442008231,1993,"Eurasian Curlew"
"2000-2006",0.0116824145175235,0.00516731222187639,2004,"Eurasian Curlew"
"2007-2010",0.000678448594637824,0.000778339455911223,2009,"Eurasian Curlew"
"2011-2012",0.000915791163827873,0.0010699887370511,2012,"Eurasian Curlew"
"2013",0.00163347072835765,0.00155176640304026,2013,"Eurasian Curlew"
"2014",0.0011472697716845,0.00045388598990159,2014,"Eurasian Curlew"
"2015",0.000786294604083202,0.000313162735533293,2015,"Eurasian Curlew"
"2016",0.00162969568056963,0.000605638574803972,2016,"Eurasian Curlew"
"2017",0.000507716975066281,0.000187377815758853,2017,"Eurasian Curlew"
"2018",0.000767742096043399,0.000286924002502594,2018,"Eurasian Curlew"
"2019",0.000581707575023923,0.000212005030346055,2019,"Eurasian Curlew"
"before 2000",0.00930782662159566,0.0024120053825741,1993,"Forest Wagtail"
"2000-2006",0.0127132227099668,0.00305027190408506,2004,"Forest Wagtail"
"2007-2010",0.0101519996855877,0.00235428126014338,2009,"Forest Wagtail"
"2011-2012",0.00711415346501139,0.00197527567206185,2012,"Forest Wagtail"
"2013",0.00634057854741367,0.00159784392056416,2013,"Forest Wagtail"
"2014",0.00457392393690171,0.00100580527746644,2014,"Forest Wagtail"
"2015",0.00372153133091402,0.000787183913876085,2015,"Forest Wagtail"
"2016",0.00354667554624634,0.000727175173407611,2016,"Forest Wagtail"
"2017",0.00265705081841552,0.000553979289492266,2017,"Forest Wagtail"
"2018",0.00271739219040918,0.000553719353336609,2018,"Forest Wagtail"
"2019",0.00151230598585424,0.00031214691655076,2019,"Forest Wagtail"
"before 2000",0.00316180826502502,0.001040437625403,1993,"Gray-headed Bulbul"
"2000-2006",0.00505000776995654,0.00141607918183194,2004,"Gray-headed Bulbul"
"2007-2010",0.00647518224889011,0.00179885249691554,2009,"Gray-headed Bulbul"
"2011-2012",0.00577560930185473,0.00170062196197423,2012,"Gray-headed Bulbul"
"2013",0.0033501039781537,0.00100217776528907,2013,"Gray-headed Bulbul"
"2014",0.00232874273351694,0.000611777896613914,2014,"Gray-headed Bulbul"
"2015",0.00181832230936391,0.000482889132344694,2015,"Gray-headed Bulbul"
"2016",0.00207755894662728,0.000512247042238204,2016,"Gray-headed Bulbul"
"2017",0.00276591602983603,0.000686082552146657,2017,"Gray-headed Bulbul"
"2018",0.00221705376482269,0.000548090773012694,2018,"Gray-headed Bulbul"
"2019",0.00158965304372393,0.000393781618765154,2019,"Gray-headed Bulbul"
"before 2000",0.0225904455105835,0.0278564821012726,1993,"Great Knot"
"2000-2006",4.13690221088828e-12,5.03339633117315e-12,2004,"Great Knot"
"2007-2010",4.35091384036179e-12,5.21438418961217e-12,2009,"Great Knot"
"2011-2012",4.74621881495312e-12,5.59671072999671e-12,2012,"Great Knot"
"2013",0.0421446525774547,0.0514226435420917,2013,"Great Knot"
"2014",0.000789879933557768,0.00101420349577583,2014,"Great Knot"
"2015",0.000953488334503846,0.0012226158231752,2015,"Great Knot"
"2016",0.000276382024204604,0.000370536054347391,2016,"Great Knot"
"2017",0.000319580863631547,0.000416081857967076,2017,"Great Knot"
"2018",3.80807886123651e-12,5.09744135379149e-12,2018,"Great Knot"
"2019",0.000216623837317955,0.000294076960630377,2019,"Great Knot"
"before 2000",2.01631231924325e-10,1.40882256851712e-10,1993,"Greater Spotted Eagle"
"2000-2006",1.65102029793423e-10,1.16523774991757e-10,2004,"Greater Spotted Eagle"
"2007-2010",0.00160725919503212,0.000621414621007004,2009,"Greater Spotted Eagle"
"2011-2012",0.00135484691906494,0.000628663743914006,2012,"Greater Spotted Eagle"
"2013",0.000958963321464771,0.000471421544311558,2013,"Greater Spotted Eagle"
"2014",0.000400744842537095,0.000183184972226809,2014,"Greater Spotted Eagle"
"2015",0.000342806461110743,0.000151101191423275,2015,"Greater Spotted Eagle"
"2016",0.000412984383325983,0.000155107978302779,2016,"Greater Spotted Eagle"
"2017",0.000757268990750503,0.000270771934490217,2017,"Greater Spotted Eagle"
"2018",0.000648107518517203,0.000234421978513991,2018,"Greater Spotted Eagle"
"2019",0.000624941299491812,0.000225358488511152,2019,"Greater Spotted Eagle"
"before 2000",0.00946177831529526,0.00234881581850938,1993,"Heart-spotted Woodpecker"
"2000-2006",0.00690408059339212,0.001923301553928,2004,"Heart-spotted Woodpecker"
"2007-2010",0.00949344783164144,0.00246334025880958,2009,"Heart-spotted Woodpecker"
"2011-2012",0.00561484224531946,0.00152210889305218,2012,"Heart-spotted Woodpecker"
"2013",0.00587835895556387,0.00140958065207329,2013,"Heart-spotted Woodpecker"
"2014",0.00604268719641287,0.00142401017177755,2014,"Heart-spotted Woodpecker"
"2015",0.00470181985026887,0.00111014214502995,2015,"Heart-spotted Woodpecker"
"2016",0.00383598230576278,0.000899115585131996,2016,"Heart-spotted Woodpecker"
"2017",0.00430359368394847,0.00100420287185938,2017,"Heart-spotted Woodpecker"
"2018",0.00427549824069538,0.00101212549592967,2018,"Heart-spotted Woodpecker"
"2019",0.00481966602846452,0.00113508765245141,2019,"Heart-spotted Woodpecker"
"before 2000",0.0221037619325978,0.00464180555318527,1993,"House Sparrow"
"2000-2006",0.0328108717460616,0.00604670092131141,2004,"House Sparrow"
"2007-2010",0.0144029991948257,0.00274245622723785,2009,"House Sparrow"
"2011-2012",0.00736370220769581,0.00240563513172323,2012,"House Sparrow"
"2013",0.0227031154897471,0.00380317287350492,2013,"House Sparrow"
"2014",0.0148695510957271,0.00201473790437196,2014,"House Sparrow"
"2015",0.0142136819228416,0.00186979632516695,2015,"House Sparrow"
"2016",0.0148900740230634,0.00184643490373294,2016,"House Sparrow"
"2017",0.0183147820757815,0.00218360597797463,2017,"House Sparrow"
"2018",0.0175012791211073,0.00214047162858972,2018,"House Sparrow"
"2019",0.0140369069930794,0.00175653429333403,2019,"House Sparrow"
"before 2000",0.0141947810954015,0.00647062527071987,1993,"Indian Cuckoo"
"2000-2006",0.00666591459148134,0.00361516738669315,2004,"Indian Cuckoo"
"2007-2010",0.0127375363402858,0.00519154807843194,2009,"Indian Cuckoo"
"2011-2012",0.0107682298245993,0.00622833930716031,2012,"Indian Cuckoo"
"2013",0.00561676120274441,0.00190005763100407,2013,"Indian Cuckoo"
"2014",0.00483642145796614,0.00147246719427457,2014,"Indian Cuckoo"
"2015",0.00467589653809847,0.00138868360292048,2015,"Indian Cuckoo"
"2016",0.00395899336598814,0.00109977713947542,2016,"Indian Cuckoo"
"2017",0.00332302778974904,0.00100210337526171,2017,"Indian Cuckoo"
"2018",0.00385916908590053,0.00106336776219594,2018,"Indian Cuckoo"
"2019",0.0028767004616594,0.000815095924563526,2019,"Indian Cuckoo"
"before 2000",5.03142306394162e-11,5.38324782777172e-11,1993,"Indian Spotted Eagle"
"2000-2006",4.734572511388e-11,5.2836807057444e-11,2004,"Indian Spotted Eagle"
"2007-2010",0.000138497349335959,0.000167745343815441,2009,"Indian Spotted Eagle"
"2011-2012",0.00385368704759438,0.00370991129773485,2012,"Indian Spotted Eagle"
"2013",0.00100516193837228,0.000948142766923328,2013,"Indian Spotted Eagle"
"2014",0.000276979802217746,0.000266508551894208,2014,"Indian Spotted Eagle"
"2015",0.000395026521258665,0.00038594416803359,2015,"Indian Spotted Eagle"
"2016",0.000255951847423183,0.000240537037565161,2016,"Indian Spotted Eagle"
"2017",0.000189132649709599,0.000181906752373988,2017,"Indian Spotted Eagle"
"2018",0.000115676928996432,0.000107110597448936,2018,"Indian Spotted Eagle"
"2019",0.000107169424200196,0.000108578651533167,2019,"Indian Spotted Eagle"
"before 2000",0.00810745887673413,0.0158513640995939,1993,"Indian Thick-knee"
"2000-2006",1.01542652818852e-10,1.55288734660884e-10,2004,"Indian Thick-knee"
"2007-2010",9.88270018341769e-11,1.51604487452766e-10,2009,"Indian Thick-knee"
"2011-2012",9.18738404444696e-11,1.34689104890823e-10,2012,"Indian Thick-knee"
"2013",1.50820157213417e-10,2.15374337373946e-10,2013,"Indian Thick-knee"
"2014",2.07353335407618e-10,2.92781680813226e-10,2014,"Indian Thick-knee"
"2015",0.00134321008021637,0.00221531962318458,2015,"Indian Thick-knee"
"2016",0.00132816092263679,0.00220251797117685,2016,"Indian Thick-knee"
"2017",0.00184567142104,0.00194204641239727,2017,"Indian Thick-knee"
"2018",0.00217934876793318,0.00233141505394349,2018,"Indian Thick-knee"
"2019",0.00218229989205068,0.00226475936351163,2019,"Indian Thick-knee"
"before 2000",5.78331185568509e-15,1.11208334194966e-14,1993,"Jerdon's Baza"
"2000-2006",3.2814569338272e-13,7.09695153837729e-13,2004,"Jerdon's Baza"
"2007-2010",0.00174864636900042,0.00303274742268644,2009,"Jerdon's Baza"
"2011-2012",0.000339857768324711,0.000812217414067012,2012,"Jerdon's Baza"
"2013",9.25482651502678e-14,1.80112117997951e-13,2013,"Jerdon's Baza"
"2014",1.17916582049628e-13,2.22713138214178e-13,2014,"Jerdon's Baza"
"2015",5.27011891899395e-05,0.000103343785110624,2015,"Jerdon's Baza"
"2016",0.00010745513774343,0.000181015917300135,2016,"Jerdon's Baza"
"2017",2.75534186555488e-14,5.94389113173023e-14,2017,"Jerdon's Baza"
"2018",8.96523690237691e-14,1.75833969200119e-13,2018,"Jerdon's Baza"
"2019",6.26003741585125e-05,0.000108372660360532,2019,"Jerdon's Baza"
"before 2000",0.0139895711530843,0.0068501076749898,1993,"Lesser Coucal"
"2000-2006",0.00328789831323052,0.00431459888614308,2004,"Lesser Coucal"
"2007-2010",0.00350651022847406,0.00380471585629083,2009,"Lesser Coucal"
"2011-2012",0.00120760695044159,0.00162051485393015,2012,"Lesser Coucal"
"2013",0.000719017537267341,0.000957865732008764,2013,"Lesser Coucal"
"2014",0.00131129960171417,0.00066373242206564,2014,"Lesser Coucal"
"2015",0.000502636578376682,0.000236916537410871,2015,"Lesser Coucal"
"2016",0.00120388411450405,0.00054092161929403,2016,"Lesser Coucal"
"2017",0.00077096885302884,0.000355225581537285,2017,"Lesser Coucal"
"2018",0.00121357319120179,0.000565117034589308,2018,"Lesser Coucal"
"2019",0.00183970247973337,0.000828527455649327,2019,"Lesser Coucal"
"before 2000",0.00162466337303219,0.000794558334707548,1993,"Malabar Lark"
"2000-2006",0.00257102871448794,0.00261552686229027,2004,"Malabar Lark"
"2007-2010",0.00205301820503682,0.000940309817392833,2009,"Malabar Lark"
"2011-2012",0.00387816473918447,0.00182444628397542,2012,"Malabar Lark"
"2013",0.000506599580127836,0.000544811004213371,2013,"Malabar Lark"
"2014",0.00162830080607555,0.000581245091370526,2014,"Malabar Lark"
"2015",0.000957448251521024,0.000349956647032239,2015,"Malabar Lark"
"2016",0.00120635233608929,0.000410742644569023,2016,"Malabar Lark"
"2017",0.00156672583255443,0.000526897442885617,2017,"Malabar Lark"
"2018",0.000977194846805683,0.000327432962522532,2018,"Malabar Lark"
"2019",0.000843069542452924,0.000281402754071536,2019,"Malabar Lark"
"before 2000",0.00187701614033719,0.000896097624422197,1993,"Malabar Pied-Hornbill"
"2000-2006",0.00160204191380077,0.00169014156662577,2004,"Malabar Pied-Hornbill"
"2007-2010",0.00135844573656542,0.000555960181996095,2009,"Malabar Pied-Hornbill"
"2011-2012",0.00212941843258729,0.000962809899303185,2012,"Malabar Pied-Hornbill"
"2013",0.00329265243876331,0.0012379198073319,2013,"Malabar Pied-Hornbill"
"2014",0.00228962313265845,0.000797402657994007,2014,"Malabar Pied-Hornbill"
"2015",0.00147434899612329,0.00050143130076324,2015,"Malabar Pied-Hornbill"
"2016",0.00088653959383936,0.000309741612542113,2016,"Malabar Pied-Hornbill"
"2017",0.0016287200514943,0.000540350943723919,2017,"Malabar Pied-Hornbill"
"2018",0.00143918899800245,0.000495103127608723,2018,"Malabar Pied-Hornbill"
"2019",0.000783269186552784,0.000265572833506058,2019,"Malabar Pied-Hornbill"
"before 2000",0.00935989774444678,0.012804285640737,1993,"Orange-breasted Green-Pigeon"
"2000-2006",2.76308941648169e-10,3.73687490740762e-10,2004,"Orange-breasted Green-Pigeon"
"2007-2010",2.30202821497983e-10,3.02465926105016e-10,2009,"Orange-breasted Green-Pigeon"
"2011-2012",2.49875183506143e-10,3.33048472466162e-10,2012,"Orange-breasted Green-Pigeon"
"2013",3.02072293775642e-10,3.9846486543264e-10,2013,"Orange-breasted Green-Pigeon"
"2014",0.00381219451000726,0.00504528815601351,2014,"Orange-breasted Green-Pigeon"
"2015",0.000865642044671791,0.00116400921234434,2015,"Orange-breasted Green-Pigeon"
"2016",0.00180000496681472,0.00236992944196905,2016,"Orange-breasted Green-Pigeon"
"2017",0.000969685788718319,0.0012699845106538,2017,"Orange-breasted Green-Pigeon"
"2018",0.00116816125740271,0.00154044263398287,2018,"Orange-breasted Green-Pigeon"
"2019",0.00166543418965858,0.00222154612000291,2019,"Orange-breasted Green-Pigeon"
"before 2000",0.006032673650421,0.00187518285763267,1993,"Pacific Golden-Plover"
"2000-2006",0.00788127269580231,0.00242283262350591,2004,"Pacific Golden-Plover"
"2007-2010",0.00155799472627444,0.000468322058668906,2009,"Pacific Golden-Plover"
"2011-2012",0.00176562599559447,0.000644377931056621,2012,"Pacific Golden-Plover"
"2013",0.00164210337566257,0.00052232881484965,2013,"Pacific Golden-Plover"
"2014",0.00128095941852707,0.000386112420089003,2014,"Pacific Golden-Plover"
"2015",0.000929481318865229,0.00027258822276061,2015,"Pacific Golden-Plover"
"2016",0.00109625824357704,0.000318442201446403,2016,"Pacific Golden-Plover"
"2017",0.000804775442156803,0.000233467748991765,2017,"Pacific Golden-Plover"
"2018",0.000681819764324207,0.000193618146324038,2018,"Pacific Golden-Plover"
"2019",0.00037220949147619,0.000107163389036319,2019,"Pacific Golden-Plover"
"before 2000",4.65602742219468e-10,5.21420866342186e-10,1993,"Pallid Harrier"
"2000-2006",0.00380081781666736,0.00234964326237425,2004,"Pallid Harrier"
"2007-2010",0.00403055450976361,0.0020347998072347,2009,"Pallid Harrier"
"2011-2012",0.00573768022440423,0.00336668810915015,2012,"Pallid Harrier"
"2013",0.00161778203046361,0.00166968588095359,2013,"Pallid Harrier"
"2014",0.000339322619783182,0.00042035884222481,2014,"Pallid Harrier"
"2015",0.000111806690367813,0.000147805564666382,2015,"Pallid Harrier"
"2016",0.000770876105892466,0.000380852044980412,2016,"Pallid Harrier"
"2017",0.000295924835519663,0.00014944379960106,2017,"Pallid Harrier"
"2018",0.000468537485217226,0.000208991341066018,2018,"Pallid Harrier"
"2019",0.000259497593708918,0.000139826365256475,2019,"Pallid Harrier"
"before 2000",6.35539803948698e-05,7.42033610262051e-05,1993,"Streaked Weaver"
"2000-2006",0.000441546431180809,0.000408889908822055,2004,"Streaked Weaver"
"2007-2010",0.000457183118936468,0.000215314108054178,2009,"Streaked Weaver"
"2011-2012",0.000823362126669896,0.000440784294238976,2012,"Streaked Weaver"
"2013",0.000149782046464475,0.000142972648889785,2013,"Streaked Weaver"
"2014",0.000709588098983289,0.000301030349153092,2014,"Streaked Weaver"
"2015",0.000387933074462162,0.000170441079486745,2015,"Streaked Weaver"
"2016",0.000285850831463311,0.000121730718093137,2016,"Streaked Weaver"
"2017",0.000178443214882448,8.09353921190501e-05,2017,"Streaked Weaver"
"2018",0.000296879219136529,0.000122882966973848,2018,"Streaked Weaver"
"2019",0.000206304048218305,8.87118964952396e-05,2019,"Streaked Weaver"
"before 2000",0.00109464439981524,0.000443808652774939,1993,"Watercock"
"2000-2006",0.00131668554047334,0.00049051427846363,2004,"Watercock"
"2007-2010",0.00056117321191663,0.000221815319029538,2009,"Watercock"
"2011-2012",0.00161950648956205,0.000635994684826388,2012,"Watercock"
"2013",0.00152161232270418,0.000506688634019478,2013,"Watercock"
"2014",0.00123379284215032,0.000389372819423581,2014,"Watercock"
"2015",0.000799753710468052,0.000260598593458662,2015,"Watercock"
"2016",0.000843027710253914,0.00026211772939107,2016,"Watercock"
"2017",0.000634762158352157,0.000200187370188035,2017,"Watercock"
"2018",0.000539518244152446,0.000168786734008087,2018,"Watercock"
"2019",0.000428202868805911,0.000137193836057399,2019,"Watercock"
"before 2000",0.00240698183752035,0.00247079890056852,1993,"White-bellied Sea-Eagle"
"2000-2006",0.00997602820698031,0.00856803582240285,2004,"White-bellied Sea-Eagle"
"2007-2010",0.00347284828442737,0.00223022741956544,2009,"White-bellied Sea-Eagle"
"2011-2012",0.00670403322750274,0.00430661812654366,2012,"White-bellied Sea-Eagle"
"2013",0.000836421893132745,0.00087218475253095,2013,"White-bellied Sea-Eagle"
"2014",0.00102776767997103,0.000657633983358864,2014,"White-bellied Sea-Eagle"
"2015",0.00141639838756801,0.000880495153430864,2015,"White-bellied Sea-Eagle"
"2016",0.00133754353681765,0.000837683192397291,2016,"White-bellied Sea-Eagle"
"2017",0.00144015763081081,0.0008974995678066,2017,"White-bellied Sea-Eagle"
"2018",0.00138258570399573,0.000851507830287191,2018,"White-bellied Sea-Eagle"
"2019",0.00215762003485688,0.0013444437122759,2019,"White-bellied Sea-Eagle"
"before 2000",0.000899086014660989,0.000342049783925724,1993,"Wire-tailed Swallow"
"2000-2006",0.00208514556637561,0.000715239433865792,2004,"Wire-tailed Swallow"
"2007-2010",0.00100283032357859,0.000330466366537634,2009,"Wire-tailed Swallow"
"2011-2012",0.00172322659354794,0.000597297237716268,2012,"Wire-tailed Swallow"
"2013",0.00164318852838519,0.000520201800822743,2013,"Wire-tailed Swallow"
"2014",0.00131534793136735,0.000367003887090874,2014,"Wire-tailed Swallow"
"2015",0.00143963160946453,0.000383787819241342,2015,"Wire-tailed Swallow"
"2016",0.00126201219938681,0.000344838653466212,2016,"Wire-tailed Swallow"
"2017",0.00121197454062385,0.00033396541886477,2017,"Wire-tailed Swallow"
"2018",0.00212472778846251,0.000562978681119902,2018,"Wire-tailed Swallow"
"2019",0.0017070657924836,0.000445385760857971,2019,"Wire-tailed Swallow"
"before 2000",0.00179896864559094,0.000720368407541974,1993,"Yellow Bittern"
"2000-2006",0.00231993482864668,0.000915924288899209,2004,"Yellow Bittern"
"2007-2010",0.000488903846769635,0.000198453002777724,2009,"Yellow Bittern"
"2011-2012",0.00240984629565143,0.000933145166356543,2012,"Yellow Bittern"
"2013",0.00173152235448198,0.000644238595067754,2013,"Yellow Bittern"
"2014",0.00110691585994054,0.000368476568745904,2014,"Yellow Bittern"
"2015",0.000915242403922949,0.000322662708851357,2015,"Yellow Bittern"
"2016",0.00125170067819539,0.000419014869974292,2016,"Yellow Bittern"
"2017",0.000968853643831981,0.000320409850771936,2017,"Yellow Bittern"
"2018",0.000942699554883967,0.000310550208870857,2018,"Yellow Bittern"
"2019",0.000426774248616704,0.000151175364073482,2019,"Yellow Bittern"
"before 2000",0.0041805131950511,0.00149830781802949,1993,"Yellow-wattled Lapwing"
"2000-2006",0.00268539834834166,0.00206289401763136,2004,"Yellow-wattled Lapwing"
"2007-2010",0.002251841256094,0.000894829473634932,2009,"Yellow-wattled Lapwing"
"2011-2012",0.00855932517492243,0.00232332569344095,2012,"Yellow-wattled Lapwing"
"2013",0.00249105859293007,0.000800401530322706,2013,"Yellow-wattled Lapwing"
"2014",0.00394979466850751,0.000945969941115746,2014,"Yellow-wattled Lapwing"
"2015",0.00202559409674421,0.000484195103739529,2015,"Yellow-wattled Lapwing"
"2016",0.00184416266452015,0.000439520175803655,2016,"Yellow-wattled Lapwing"
"2017",0.00171581685719076,0.00041807921342871,2017,"Yellow-wattled Lapwing"
"2018",0.00111145302008184,0.000267629444973982,2018,"Yellow-wattled Lapwing"
"2019",0.00119837758309082,0.000289590271002281,2019,"Yellow-wattled Lapwing"
